target_id,site_id,feasible,distance_score,timing_score,quality_score,simulated_success_probability,reason
T01,S01,True,0.867,1.0,0.716,0.2071,Simulated feasibility criteria satisfied
T01,S02,True,0.979,1.0,0.844,0.5019,Simulated feasibility criteria satisfied
T01,S03,True,0.763,1.0,0.623,0.1942,Simulated feasibility criteria satisfied
T01,S04,True,0.601,1.0,0.567,0.1183,Simulated feasibility criteria satisfied
T01,S05,True,0.619,1.0,0.632,0.1526,Simulated feasibility criteria satisfied
T01,S06,True,0.7,1.0,0.641,0.1992,Simulated feasibility criteria satisfied
T01,S07,True,0.939,1.0,0.602,0.1707,Simulated feasibility criteria satisfied
T01,S08,True,0.989,1.0,0.599,0.264,Simulated feasibility criteria satisfied
T01,S09,True,0.883,1.0,0.806,0.4023,Simulated feasibility criteria satisfied
T01,S10,True,0.649,1.0,0.669,0.1091,Simulated feasibility criteria satisfied
T02,S01,True,0.994,1.0,0.716,0.228,Simulated feasibility criteria satisfied
T02,S02,True,0.944,1.0,0.844,0.4908,Simulated feasibility criteria satisfied
T02,S03,True,0.731,1.0,0.623,0.1894,Simulated feasibility criteria satisfied
T02,S04,True,0.573,1.0,0.567,0.1153,Simulated feasibility criteria satisfied
T02,S05,True,0.539,1.0,0.632,0.1413,Simulated feasibility criteria satisfied
T02,S06,True,0.693,1.0,0.641,0.1986,Simulated feasibility criteria satisfied
T02,S07,True,0.971,1.0,0.602,0.1752,Simulated feasibility criteria satisfied
T02,S08,True,0.763,1.0,0.599,0.2225,Simulated feasibility criteria satisfied
T02,S09,True,0.543,1.0,0.806,0.299,Simulated feasibility criteria satisfied
T02,S10,True,0.655,1.0,0.669,0.11,Simulated feasibility criteria satisfied
T03,S01,True,0.862,1.0,0.716,0.2091,Simulated feasibility criteria satisfied
T03,S02,True,0.823,1.0,0.844,0.4529,Simulated feasibility criteria satisfied
T03,S03,True,0.608,1.0,0.623,0.1713,Simulated feasibility criteria satisfied
T03,S04,True,0.445,1.0,0.567,0.1017,Simulated feasibility criteria satisfied
T03,S05,True,0.399,1.0,0.632,0.1224,Simulated feasibility criteria satisfied
T03,S06,True,0.861,1.0,0.641,0.2309,Simulated feasibility criteria satisfied
T03,S07,True,0.952,1.0,0.602,0.1749,Simulated feasibility criteria satisfied
T03,S08,True,0.676,1.0,0.599,0.2087,Simulated feasibility criteria satisfied
T03,S09,True,0.483,1.0,0.806,0.2837,Simulated feasibility criteria satisfied
T03,S10,True,0.743,1.0,0.669,0.1204,Simulated feasibility criteria satisfied
T04,S01,True,0.936,1.0,0.716,0.2191,Simulated feasibility criteria satisfied
T04,S02,True,1.0,1.0,0.844,0.5122,Simulated feasibility criteria satisfied
T04,S03,True,0.824,1.0,0.623,0.2052,Simulated feasibility criteria satisfied
T04,S04,True,0.625,1.0,0.567,0.1217,Simulated feasibility criteria satisfied
T04,S05,True,0.548,1.0,0.632,0.1431,Simulated feasibility criteria satisfied
T04,S06,True,0.672,1.0,0.641,0.1953,Simulated feasibility criteria satisfied
T04,S07,True,0.933,1.0,0.602,0.1709,Simulated feasibility criteria satisfied
T04,S08,True,0.716,1.0,0.599,0.2144,Simulated feasibility criteria satisfied
T04,S09,True,0.493,1.0,0.806,0.2842,Simulated feasibility criteria satisfied
T04,S10,True,0.602,1.0,0.669,0.1049,Simulated feasibility criteria satisfied
T05,S01,True,0.504,1.0,0.716,0.1343,Simulated feasibility criteria satisfied
T05,S02,True,0.668,1.0,0.844,0.3526,Simulated feasibility criteria satisfied
T05,S03,True,0.78,1.0,0.623,0.1775,Simulated feasibility criteria satisfied
T05,S04,True,0.998,1.0,0.567,0.1478,Simulated feasibility criteria satisfied
T05,S05,True,0.828,1.0,0.632,0.165,Simulated feasibility criteria satisfied
T05,S06,True,0.923,1.0,0.641,0.2153,Simulated feasibility criteria satisfied
T05,S07,True,1.0,1.0,0.602,0.1608,Simulated feasibility criteria satisfied
T05,S08,True,0.755,1.0,0.599,0.1989,Simulated feasibility criteria satisfied
T05,S09,True,0.539,1.0,0.806,0.2677,Simulated feasibility criteria satisfied
T05,S10,True,0.864,1.0,0.669,0.118,Simulated feasibility criteria satisfied
T06,S01,True,0.428,1.0,0.716,0.1184,Simulated feasibility criteria satisfied
T06,S02,True,0.597,1.0,0.844,0.3164,Simulated feasibility criteria satisfied
T06,S03,True,0.719,1.0,0.623,0.1617,Simulated feasibility criteria satisfied
T06,S04,True,0.906,1.0,0.567,0.1326,Simulated feasibility criteria satisfied
T06,S05,True,0.867,1.0,0.632,0.1633,Simulated feasibility criteria satisfied
T06,S06,True,0.816,1.0,0.641,0.1901,Simulated feasibility criteria satisfied
T06,S07,True,0.991,1.0,0.602,0.1533,Simulated feasibility criteria satisfied
T06,S08,True,0.842,1.0,0.599,0.2049,Simulated feasibility criteria satisfied
T06,S09,True,0.62,1.0,0.806,0.2784,Simulated feasibility criteria satisfied
T06,S10,True,1.0,1.0,0.669,0.1252,Simulated feasibility criteria satisfied
T07,S01,True,0.539,1.0,0.716,0.138,Simulated feasibility criteria satisfied
T07,S02,True,0.672,1.0,0.844,0.3503,Simulated feasibility criteria satisfied
T07,S03,True,0.737,1.0,0.623,0.1695,Simulated feasibility criteria satisfied
T07,S04,True,0.925,1.0,0.567,0.1387,Simulated feasibility criteria satisfied
T07,S05,True,0.908,1.0,0.632,0.1737,Simulated feasibility criteria satisfied
T07,S06,True,0.974,1.0,0.641,0.221,Simulated feasibility criteria satisfied
T07,S07,True,0.972,1.0,0.602,0.156,Simulated feasibility criteria satisfied
T07,S08,True,0.755,1.0,0.599,0.1968,Simulated feasibility criteria satisfied
T07,S09,True,0.532,1.0,0.806,0.2629,Simulated feasibility criteria satisfied
T07,S10,True,0.788,1.0,0.669,0.11,Simulated feasibility criteria satisfied
T08,S01,True,0.624,1.0,0.716,0.1554,Simulated feasibility criteria satisfied
T08,S02,True,0.802,1.0,0.844,0.4055,Simulated feasibility criteria satisfied
T08,S03,True,0.919,1.0,0.623,0.2028,Simulated feasibility criteria satisfied
T08,S04,True,0.769,1.0,0.567,0.1271,Simulated feasibility criteria satisfied
T08,S05,True,0.609,1.0,0.632,0.1397,Simulated feasibility criteria satisfied
T08,S06,True,0.956,1.0,0.641,0.2259,Simulated feasibility criteria satisfied
T08,S07,True,0.907,1.0,0.602,0.1541,Simulated feasibility criteria satisfied
T08,S08,True,0.608,1.0,0.599,0.1784,Simulated feasibility criteria satisfied
T08,S09,True,0.432,1.0,0.806,0.2439,Simulated feasibility criteria satisfied
T08,S10,True,0.817,1.0,0.669,0.1165,Simulated feasibility criteria satisfied
T09,S01,True,0.938,1.0,0.716,0.1804,Simulated feasibility criteria satisfied
T09,S02,True,0.888,1.0,0.844,0.3881,Simulated feasibility criteria satisfied
T09,S03,True,0.682,1.0,0.623,0.1495,Simulated feasibility criteria satisfied
T09,S04,True,0.562,1.0,0.567,0.094,Simulated feasibility criteria satisfied
T09,S05,True,0.604,1.0,0.632,0.1243,Simulated feasibility criteria satisfied
T09,S06,True,0.754,1.0,0.641,0.1726,Simulated feasibility criteria satisfied
T09,S07,True,0.998,1.0,0.602,0.1472,Simulated feasibility criteria satisfied
T09,S08,True,0.993,1.0,0.599,0.2188,Simulated feasibility criteria satisfied
T09,S09,True,0.999,1.0,0.806,0.362,Simulated feasibility criteria satisfied
T09,S10,True,0.68,1.0,0.669,0.0928,Simulated feasibility criteria satisfied
T10,S01,True,0.958,1.0,0.716,0.1781,Simulated feasibility criteria satisfied
T10,S02,True,0.935,1.0,0.844,0.3906,Simulated feasibility criteria satisfied
T10,S03,True,0.718,1.0,0.623,0.1501,Simulated feasibility criteria satisfied
T10,S04,True,0.589,1.0,0.567,0.0939,Simulated feasibility criteria satisfied
T10,S05,True,0.609,1.0,0.632,0.1214,Simulated feasibility criteria satisfied
T10,S06,True,0.75,1.0,0.641,0.1672,Simulated feasibility criteria satisfied
T10,S07,True,0.993,1.0,0.602,0.1426,Simulated feasibility criteria satisfied
T10,S08,True,0.998,1.0,0.599,0.2135,Simulated feasibility criteria satisfied
T10,S09,True,1.0,1.0,0.806,0.3521,Simulated feasibility criteria satisfied
T10,S10,True,0.717,1.0,0.669,0.0932,Simulated feasibility criteria satisfied
T11,S01,True,1.0,1.0,0.716,0.2015,Simulated feasibility criteria satisfied
T11,S02,True,0.962,1.0,0.844,0.4378,Simulated feasibility criteria satisfied
T11,S03,True,0.745,1.0,0.623,0.1688,Simulated feasibility criteria satisfied
T11,S04,True,0.613,1.0,0.567,0.1056,Simulated feasibility criteria satisfied
T11,S05,True,0.622,1.0,0.632,0.1351,Simulated feasibility criteria satisfied
T11,S06,True,0.691,1.0,0.641,0.1745,Simulated feasibility criteria satisfied
T11,S07,True,0.925,1.0,0.602,0.1492,Simulated feasibility criteria satisfied
T11,S08,True,0.989,1.0,0.599,0.2332,Simulated feasibility criteria satisfied
T11,S09,True,1.0,1.0,0.806,0.3869,Simulated feasibility criteria satisfied
T11,S10,True,0.679,1.0,0.669,0.0991,Simulated feasibility criteria satisfied
T12,S01,True,1.0,1.0,0.716,0.1989,Simulated feasibility criteria satisfied
T12,S02,True,0.962,1.0,0.844,0.4322,Simulated feasibility criteria satisfied
T12,S03,True,0.758,1.0,0.623,0.1684,Simulated feasibility criteria satisfied
T12,S04,True,0.601,1.0,0.567,0.103,Simulated feasibility criteria satisfied
T12,S05,True,0.643,1.0,0.632,0.136,Simulated feasibility criteria satisfied
T12,S06,True,0.69,1.0,0.641,0.1721,Simulated feasibility criteria satisfied
T12,S07,True,0.957,1.0,0.602,0.1507,Simulated feasibility criteria satisfied
T12,S08,True,1.0,1.0,0.599,0.2319,Simulated feasibility criteria satisfied
T12,S09,True,1.0,1.0,0.806,0.3819,Simulated feasibility criteria satisfied
T12,S10,True,0.662,1.0,0.669,0.0962,Simulated feasibility criteria satisfied
