target_id,scenario,time_s,x_km,y_km,altitude_km,speed_km_s,direction_deg,priority_weight
T01,short,0.0,27.292,27.458,10.32,1.277,45.0,1.5
T01,short,5.98,32.283,31.037,19.63,1.251,45.0,1.5
T01,short,11.97,34.402,37.484,25.72,1.195,45.0,1.5
T01,short,17.95,38.62,41.833,30.62,1.134,45.0,1.5
T01,short,23.94,43.883,45.14,35.11,1.052,45.0,1.5
T01,short,29.92,49.773,47.82,35.93,1.037,45.0,1.5
T01,short,35.91,52.977,53.184,33.65,0.848,45.0,1.5
T01,short,41.89,58.501,56.23,30.58,0.831,45.0,1.5
T01,short,47.88,62.803,60.497,26.25,0.766,45.0,1.5
T01,short,53.86,65.684,66.182,18.54,0.735,45.0,1.5
T01,short,59.85,70.108,70.327,10.48,0.653,45.0,1.5
T02,short,0.0,14.939,14.028,9.05,1.277,47.7,1.0
T02,short,5.86,18.172,18.077,21.49,1.221,47.7,1.0
T02,short,11.71,22.175,21.424,32.76,1.224,47.7,1.0
T02,short,17.57,23.297,27.391,39.26,1.145,47.7,1.0
T02,short,23.42,27.245,30.789,41.78,1.025,47.7,1.0
T02,short,29.28,30.375,34.93,44.71,0.945,47.7,1.0
T02,short,35.13,35.629,37.14,42.96,0.916,47.7,1.0
T02,short,40.99,38.786,41.257,38.48,0.783,47.7,1.0
T02,short,46.84,43.015,44.4,32.14,0.766,47.7,1.0
T02,short,52.7,46.318,48.383,21.78,0.66,47.7,1.0
T02,short,58.55,49.711,52.286,10.63,0.632,47.7,1.0
T03,short,0.0,8.654,29.74,9.31,1.161,41.8,1.0
T03,short,4.32,11.915,31.324,19.32,1.157,41.8,1.0
T03,short,8.65,15.046,33.054,28.75,1.177,41.8,1.0
T03,short,12.97,16.857,36.261,34.7,1.112,41.8,1.0
T03,short,17.3,17.326,40.97,40.41,1.004,41.8,1.0
T03,short,21.62,23.297,39.52,41.96,0.952,41.8,1.0
T03,short,25.94,23.878,44.104,43.25,0.854,41.8,1.0
T03,short,30.27,27.509,45.273,42.54,0.782,41.8,1.0
T03,short,34.59,27.92,50.048,38.81,0.792,41.8,1.0
T03,short,38.92,33.57,48.957,35.75,0.727,41.8,1.0
T03,short,43.24,33.382,54.402,29.17,0.667,41.8,1.0
T03,short,47.56,37.064,55.514,20.77,0.573,41.8,1.0
T03,short,51.89,39.861,57.617,10.03,0.635,41.8,1.0
T04,short,0.0,20.989,12.994,9.73,1.222,51.2,1.5
T04,short,3.98,23.5,15.717,17.5,1.209,51.2,1.5
T04,short,7.95,24.223,19.879,23.8,1.197,51.2,1.5
T04,short,11.93,28.694,21.025,27.57,1.187,51.2,1.5
T04,short,15.9,29.43,25.176,31.35,1.093,51.2,1.5
T04,short,19.88,31.77,28.037,32.27,1.041,51.2,1.5
T04,short,23.85,36.742,28.781,33.73,0.976,51.2,1.5
T04,short,27.83,39.418,31.371,32.92,0.821,51.2,1.5
T04,short,31.8,38.301,37.012,29.91,0.833,51.2,1.5
T04,short,35.78,43.434,37.627,28.42,0.757,51.2,1.5
T04,short,39.75,43.86,42.027,23.53,0.709,51.2,1.5
T04,short,43.73,45.749,45.25,16.64,0.659,51.2,1.5
T04,short,47.7,48.784,47.551,10.23,0.607,51.2,1.5
T05,medium,0.0,14.32,83.066,9.24,1.941,314.6,2.5
T05,medium,5.94,18.303,77.898,24.45,1.963,314.6,2.5
T05,medium,11.87,24.138,74.554,36.26,1.929,314.6,2.5
T05,medium,17.81,29.463,70.707,45.86,1.881,314.6,2.5
T05,medium,23.75,31.867,63.983,52.03,1.816,314.6,2.5
T05,medium,29.68,35.173,58.147,57.99,1.78,314.6,2.5
T05,medium,35.62,40.936,54.732,59.93,1.721,314.6,2.5
T05,medium,41.55,48.609,53.199,60.03,1.641,314.6,2.5
T05,medium,47.49,50.029,45.505,58.09,1.595,314.6,2.5
T05,medium,53.43,57.35,43.625,51.64,1.544,314.6,2.5
T05,medium,59.36,60.298,37.437,44.58,1.464,314.6,2.5
T05,medium,65.3,64.819,32.798,34.94,1.409,314.6,2.5
T05,medium,71.24,69.316,28.136,23.73,1.384,314.6,2.5
T05,medium,77.17,73.418,23.085,9.6,1.422,314.6,2.5
T06,medium,0.0,24.941,91.98,10.3,2.258,307.7,3.0
T06,medium,4.22,28.603,88.322,18.56,2.267,307.7,3.0
T06,medium,8.44,30.301,83.147,28.21,2.243,307.7,3.0
T06,medium,12.66,35.888,80.977,34.76,2.196,307.7,3.0
T06,medium,16.88,35.174,73.936,38.98,2.211,307.7,3.0
T06,medium,21.11,42.292,72.95,43.43,2.184,307.7,3.0
T06,medium,25.33,41.115,65.551,47.27,2.135,307.7,3.0
T06,medium,29.55,48.632,64.874,48.42,2.064,307.7,3.0
T06,medium,33.77,47.165,57.25,47.43,1.93,307.7,3.0
T06,medium,37.99,53.227,55.448,47.16,1.92,307.7,3.0
T06,medium,42.21,58.264,52.853,43.26,1.873,307.7,3.0
T06,medium,46.43,58.035,46.187,39.42,1.82,307.7,3.0
T06,medium,50.65,64.405,44.623,34.67,1.712,307.7,3.0
T06,medium,54.88,66.058,39.412,26.74,1.764,307.7,3.0
T06,medium,59.1,69.174,35.332,18.85,1.665,307.7,3.0
T06,medium,63.32,72.038,31.058,10.96,1.695,307.7,3.0
T07,medium,0.0,16.448,73.628,10.88,2.025,323.2,3.0
